taxid	lineage	name	rank	SRR5803943	SRR5803944	SRR5803945	SRR5803946	SRR5803949	SRR5803950	SRR5803951	SRR5803952	SRR5803953	SRR5803954	SRR5803955	SRR5803956	SRR5803957	SRR5803958	SRR5803959	SRR5803960	SRR5803961	SRR5803962	SRR5803963	SRR5803964	SRR5803965	SRR5803966	SRR5803967	SRR5803968	SRR5803969	SRR5803970	SRR5803971	SRR5803972	SRR5803973	SRR5803984	SRR5803985	SRR5803986	SRR5803997	SRR5803998	SRR5803999	SRR5804000	SRR5804001	SRR5804002	SRR5804003	SRR5804004	SRR5804005	SRR5804006	SRR5804007	SRR5804008	SRR5804009	SRR5804010	SRR5804011	SRR5804012
2938	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Legionellales;order;Coxiellaceae;family;Diplorickettsia;genus;	Diplorickettsia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1566	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;	Chromatiales	order	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0
1567	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;	Chromatiaceae	family	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
1579	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;Rheinheimera;genus;	Rheinheimera	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1525	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;Alishewanella;genus;	Alishewanella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
-1567	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;unclassified_Chromatiales;;	unclassified_Chromatiales		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1787	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Nevskiales;order;	Nevskiales	order	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1827	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Nevskiales;order;Nevskiaceae;family;	Nevskiaceae	family	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1829	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Nevskiales;order;Nevskiaceae;family;Hydrocarboniphaga;genus;	Hydrocarboniphaga	genus	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1502	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;unclassified_Gammaproteobacteria;;	unclassified_Gammaproteobacteria		2	1	1	3	1	1	8	4	2	0	5	20	2	5	1	0	0	1	0	13	46	2	9	3	0	5	6	1	5	4	1	23	7	5	54	41	13	11	10	9	40	1	1	0	6	6	6	14
1790	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;	Thiotrichales	order	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	1	3	1	1	0	5	0	0	2	0	0	1	0	4	1
1801	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;Thiotrichaceae;family;	Thiotrichaceae	family	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	1	3	1	1	0	5	0	0	2	0	0	1	0	4	1
1809	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;Thiotrichaceae;family;Thiothrix;genus;	Thiothrix	genus	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	1	3	1	1	0	5	0	0	2	0	0	1	0	4	1
1616	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;	Enterobacterales	order	0	3	1	7	3	33	1	0	2	1	0	0	1	0	0	1	0	2	0	2	1	3	2	1	0	1	1	0	3	1	0	0	7	1	4	3	3	3	4	1	3	0	0	0	1	0	1	0
1617	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;	Enterobacteriaceae	family	0	3	1	7	3	2	1	0	2	1	0	0	1	0	0	1	0	2	0	2	1	2	2	1	0	1	1	0	3	1	0	0	6	1	3	3	3	3	4	1	3	0	0	0	1	0	1	0
1654	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;Raoultella;genus;	Raoultella	genus	0	3	1	7	3	2	1	0	2	1	0	0	1	0	0	1	0	1	0	2	1	2	2	1	0	1	1	0	3	1	0	0	6	1	3	3	3	3	4	1	2	0	0	0	1	0	1	0
1637	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;Klebsiella;genus;	Klebsiella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3423	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Erwiniaceae;family;	Erwiniaceae	family	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1646	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Erwiniaceae;family;Pantoea;genus;	Pantoea	genus	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1617	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;unclassified_Enterobacterales;;	unclassified_Enterobacterales		0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3442	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Yersiniaceae;family;	Yersiniaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1666	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Yersiniaceae;family;Yersinia;genus;	Yersinia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
842	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;	Alphaproteobacteria	class	32	4	1	17	214	95	5	3	5	7	29	6	11	3	4	5	10	4	8	6	20	13	29	15	13	6	9	48	28	14	16	16	41	1	42	11	7	14	14	18	4	4	4	6	17	9	4	8
870	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;	Rhizobiales	order	13	0	0	3	45	17	2	0	1	2	5	3	4	0	1	2	2	1	1	0	4	4	7	4	4	2	5	12	7	5	10	5	2	0	4	6	2	0	5	9	1	1	1	1	4	4	0	3
950	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;	Rhizobiaceae	family	9	0	0	1	26	5	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	0	3	3	0	0	2	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-951	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;unclassified_Rhizobiaceae;;	unclassified_Rhizobiaceae		9	0	0	1	26	5	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	0	3	3	0	0	2	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
932	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Methylocystaceae;family;	Methylocystaceae	family	2	0	0	0	2	3	0	0	1	0	5	1	2	0	0	2	2	1	1	0	2	1	1	1	1	2	2	6	1	2	0	5	0	0	3	3	2	0	2	9	1	1	0	0	0	4	0	3
935	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Methylocystaceae;family;Methylocystis;genus;	Methylocystis	genus	2	0	0	0	2	3	0	0	1	0	5	1	2	0	0	2	2	1	1	0	2	1	1	1	1	2	2	6	1	2	0	5	0	0	3	3	2	0	2	9	1	1	0	0	0	4	0	3
4431	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Devosiaceae;family;	Devosiaceae	family	1	0	0	1	4	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	1	0	0	1	0	1	3	0	0	3	0	0	0	0	1	2	0	0	0
914	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Devosiaceae;family;Devosia;genus;	Devosia	genus	1	0	0	1	4	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	1	0	0	1	0	1	3	0	0	3	0	0	0	0	1	2	0	0	0
4436	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Pleomorphomonadaceae;family;	Pleomorphomonadaceae	family	1	0	0	1	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
938	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Pleomorphomonadaceae;family;Pleomorphomonas;genus;	Pleomorphomonas	genus	1	0	0	1	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
966	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Xanthobacteraceae;family;	Xanthobacteraceae	family	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
973	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Xanthobacteraceae;family;Xanthobacter;genus;	Xanthobacter	genus	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
886	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;	Bradyrhizobiaceae	family	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-887	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;unclassified_Bradyrhizobiaceae;;	unclassified_Bradyrhizobiaceae		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4435	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Phreatobacteraceae;family;	Phreatobacteraceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3304	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Phreatobacteraceae;family;Phreatobacter;genus;	Phreatobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-871	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;unclassified_Rhizobiales;;	unclassified_Rhizobiales		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
843	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;	Caulobacterales	order	3	0	0	2	16	13	2	1	4	3	0	1	1	0	0	1	6	2	2	1	3	3	12	2	4	0	1	23	13	1	3	0	1	1	3	0	0	1	1	0	0	0	0	1	10	1	0	1
844	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;Caulobacteraceae;family;	Caulobacteraceae	family	3	0	0	2	16	13	2	1	4	3	0	1	1	0	0	1	6	2	2	1	3	3	12	2	4	0	1	23	13	1	3	0	1	1	3	0	0	1	1	0	0	0	0	1	10	1	0	1
848	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;Caulobacteraceae;family;Phenylobacterium;genus;	Phenylobacterium	genus	1	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
846	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;Caulobacteraceae;family;Brevundimonas;genus;	Brevundimonas	genus	2	0	0	0	7	4	1	1	3	1	0	1	0	0	0	1	1	0	1	1	2	1	3	0	0	0	0	5	3	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
847	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;Caulobacteraceae;family;Caulobacter;genus;	Caulobacter	genus	0	0	0	1	5	4	1	0	1	2	0	0	1	0	0	0	5	2	1	0	1	1	9	2	4	0	1	7	6	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	8	1	0	1
-845	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Caulobacterales;order;Caulobacteraceae;family;unclassified_Caulobacteraceae;;	unclassified_Caulobacteraceae		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1069	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;	Rhodospirillales	order	8	1	0	8	95	24	1	1	0	1	3	1	5	1	1	1	0	0	1	4	6	3	2	7	1	1	1	5	3	2	0	6	6	0	4	4	5	2	8	4	3	2	1	3	1	1	4	3
1101	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Rhodospirillaceae;family;	Rhodospirillaceae	family	7	0	0	6	14	13	0	0	0	0	1	0	2	0	0	0	0	0	0	4	3	0	1	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1111	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Rhodospirillaceae;family;Magnetospirillum;genus;	Magnetospirillum	genus	7	0	0	6	14	13	0	0	0	0	1	0	1	0	0	0	0	0	0	4	3	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1102	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Rhodospirillaceae;family;unclassified_Rhodospirillaceae;;	unclassified_Rhodospirillaceae		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1070	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Acetobacteraceae;family;	Acetobacteraceae	family	1	1	0	1	78	9	1	1	0	1	2	1	3	1	0	1	0	0	0	0	3	3	1	7	0	1	1	4	1	0	0	3	4	0	2	4	4	2	7	4	3	1	1	3	1	1	4	3
1073	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Acetobacteraceae;family;Acidiphilium;genus;	Acidiphilium	genus	1	1	0	1	6	6	1	1	0	1	2	1	3	1	0	1	0	0	0	0	3	2	0	6	0	1	1	1	1	0	0	3	3	0	2	4	4	2	6	4	2	1	1	3	1	1	4	3
1093	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Acetobacteraceae;family;Roseomonas;genus;	Roseomonas	genus	0	0	0	0	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
1091	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Acetobacteraceae;family;Rhodovarius;genus;	Rhodovarius	genus	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1071	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Acetobacteraceae;family;unclassified_Acetobacteraceae;;	unclassified_Acetobacteraceae		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4427	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Azospirillaceae;family;	Azospirillaceae	family	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Azospirillaceae;family;Azospirillum;genus;	Azospirillum	genus	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3302	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Azospirillaceae;family;Niveispirillum;genus;	Niveispirillum	genus	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Elioraea;genus;	Elioraea	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4438	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Reyranellaceae;family;	Reyranellaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3308	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;Reyranellaceae;family;Reyranella;genus;	Reyranella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1070	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodospirillales;order;unclassified_Rhodospirillales;;	unclassified_Rhodospirillales		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
1151	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;	Sphingomonadales	order	8	3	1	0	57	32	0	0	0	1	0	0	0	1	1	0	1	0	1	1	2	2	6	2	3	2	0	6	2	5	3	0	4	0	1	0	0	1	0	1	0	0	0	0	2	1	0	0
1152	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Erythrobacteraceae;family;	Erythrobacteraceae	family	3	0	1	0	16	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	1	2	3	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
1161	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Erythrobacteraceae;family;Novosphingobium;genus;	Novosphingobium	genus	3	0	1	0	16	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1153	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Erythrobacteraceae;family;Altererythrobacter;genus;	Altererythrobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1158	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Sphingomonadaceae;family;	Sphingomonadaceae	family	5	3	0	0	41	20	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	6	2	3	2	0	4	1	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
1164	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Sphingomonadaceae;family;Sphingobium;genus;	Sphingobium	genus	5	3	0	0	41	19	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	6	2	3	2	0	4	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
-1159	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Sphingomonadaceae;family;unclassified_Sphingomonadaceae;;	unclassified_Sphingomonadaceae		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2927	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Sphingomonadales;order;Sphingomonadaceae;family;Sphingorhabdus;genus;	Sphingorhabdus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
978	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodobacterales;order;	Rhodobacterales	order	0	0	0	4	1	9	0	0	0	0	10	1	1	0	1	0	0	0	3	0	3	0	1	0	1	0	1	0	1	1	0	1	28	0	0	1	0	5	0	2	0	1	1	1	0	0	0	0
979	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodobacterales;order;Rhodobacteraceae;family;	Rhodobacteraceae	family	0	0	0	4	1	9	0	0	0	0	10	1	1	0	1	0	0	0	3	0	3	0	1	0	1	0	1	0	1	1	0	1	28	0	0	1	0	5	0	2	0	1	1	1	0	0	0	0
1031	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodobacterales;order;Rhodobacteraceae;family;Rhodobacter;genus;	Rhodobacter	genus	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-980	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodobacterales;order;Rhodobacteraceae;family;unclassified_Rhodobacteraceae;;	unclassified_Rhodobacteraceae		0	0	0	3	1	6	0	0	0	0	10	1	0	0	1	0	0	0	3	0	3	0	1	0	1	0	1	0	1	0	0	1	23	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
4454	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhodobacterales;order;Rhodobacteraceae;family;Cypionkella;genus;	Cypionkella	genus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	0	1	0	1	0	1	0	0	0	0
-843	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;unclassified_Alphaproteobacteria;;	unclassified_Alphaproteobacteria		0	0	0	0	0	0	0	1	0	0	11	0	0	1	0	1	1	1	0	0	2	1	1	0	0	1	1	1	1	0	0	4	0	0	28	0	0	5	0	2	0	0	1	0	0	2	0	1
